"","GO.ID","Term","KS"
"50","GO:0007179","transforming growth factor beta receptor...","0.00782"
"51","GO:1903047","mitotic cell cycle process","0.0011"
"52","GO:0022402","cell cycle process","0.0024"
"53","GO:0000278","mitotic cell cycle","0.0039"
"54","GO:0051726","regulation of cell cycle","0.0039"
"55","GO:0044772","mitotic cell cycle phase transition","0.0056"
"56","GO:0007179","transforming growth factor beta receptor...","0.0057"
"57","GO:0044770","cell cycle phase transition","0.0079"
"58","GO:0045786","negative regulation of cell cycle","0.0080"
"59","GO:0000086","G2/M transition of mitotic cell cycle","0.0124"
"60","GO:0010564","regulation of cell cycle process","0.0133"
"61","GO:0007179","transforming growth factor beta receptor...","0.0012"
"62","GO:0007178","transmembrane receptor protein serine/th...","0.0097"
"63","GO:0071559","response to transforming growth factor b...","0.0117"
"64","GO:0071560","cellular response to transforming growth...","0.0117"
"65","GO:0030031","cell projection assembly","0.0130"
"66","GO:0120031","plasma membrane bounded cell projection ...","0.0130"
"67","GO:0022402","cell cycle process","0.0142"
"68","GO:1903047","mitotic cell cycle process","0.0155"
"69","GO:0097191","extrinsic apoptotic signaling pathway","0.0160"
"70","GO:0045137","development of primary sexual characteri...","0.0167"
"71","GO:0022402","cell cycle process","0.0027"
"72","GO:0045137","development of primary sexual characteri...","0.0030"
"73","GO:0065003","protein-containing complex assembly","0.0081"
"74","GO:1903047","mitotic cell cycle process","0.0082"
"75","GO:0007179","transforming growth factor beta receptor...","0.0085"
"76","GO:0008406","gonad development","0.0091"
"77","GO:0007548","sex differentiation","0.0106"
"78","GO:0007049","cell cycle","0.0126"
"79","GO:1901699","cellular response to nitrogen compound","0.0144"
"80","GO:0070482","response to oxygen levels","0.0182"
"81","GO:0097435","supramolecular fiber organization","0.00067"
"82","GO:0001501","skeletal system development","0.00096"
"83","GO:0044087","regulation of cellular component biogene...","0.00100"
"84","GO:0010720","positive regulation of cell development","0.00230"
"85","GO:0044085","cellular component biogenesis","0.00279"
"86","GO:0043085","positive regulation of catalytic activit...","0.00304"
"87","GO:0022607","cellular component assembly","0.00335"
"88","GO:0045597","positive regulation of cell differentiat...","0.00382"
"89","GO:0007010","cytoskeleton organization","0.00470"
"90","GO:0007015","actin filament organization","0.00539"
"91","GO:1901566","organonitrogen compound biosynthetic pro...","0.0033"
"92","GO:0006807","nitrogen compound metabolic process","0.0073"
"93","GO:0044260","cellular macromolecule metabolic process","0.0083"
"94","GO:0019538","protein metabolic process","0.0091"
"95","GO:0044237","cellular metabolic process","0.0111"
"96","GO:1901564","organonitrogen compound metabolic proces...","0.0120"
"97","GO:0031323","regulation of cellular metabolic process","0.0122"
"98","GO:0060255","regulation of macromolecule metabolic pr...","0.0122"
"99","GO:0009058","biosynthetic process","0.0124"
"100","GO:0044249","cellular biosynthetic process","0.0124"
"101","GO:0019219","regulation of nucleobase-containing comp...","0.0022"
"102","GO:0050807","regulation of synapse organization","0.0025"
"103","GO:0009059","macromolecule biosynthetic process","0.0025"
"104","GO:1990778","protein localization to cell periphery","0.0029"
"105","GO:0007179","transforming growth factor beta receptor...","0.0030"
"106","GO:0002064","epithelial cell development","0.0039"
"107","GO:0031323","regulation of cellular metabolic process","0.0040"
"108","GO:0046483","heterocycle metabolic process","0.0050"
"109","GO:0034645","cellular macromolecule biosynthetic proc...","0.0052"
"110","GO:0050803","regulation of synapse structure or activ...","0.0054"
"111","GO:0044267","cellular protein metabolic process","0.014"
"112","GO:0044260","cellular macromolecule metabolic process","0.015"
"113","GO:0032501","multicellular organismal process","0.016"
"114","GO:0032268","regulation of cellular protein metabolic...","0.020"
"115","GO:0051246","regulation of protein metabolic process","0.020"
"116","GO:0048523","negative regulation of cellular process","0.027"
"117","GO:0007275","multicellular organism development","0.029"
"118","GO:0048519","negative regulation of biological proces...","0.034"
"119","GO:0019538","protein metabolic process","0.035"
"120","GO:0031399","regulation of protein modification proce...","0.035"
"121","GO:0034248","regulation of cellular amide metabolic p...","0.0018"
"122","GO:0019222","regulation of metabolic process","0.0023"
"123","GO:0010468","regulation of gene expression","0.0029"
"124","GO:0071704","organic substance metabolic process","0.0037"
"125","GO:0080090","regulation of primary metabolic process","0.0039"
"126","GO:0060255","regulation of macromolecule metabolic pr...","0.0039"
"127","GO:0044238","primary metabolic process","0.0048"
"128","GO:0002376","immune system process","0.0060"
"129","GO:1901361","organic cyclic compound catabolic proces...","0.0061"
"130","GO:0019219","regulation of nucleobase-containing comp...","0.0063"
"131","GO:0031325","positive regulation of cellular metaboli...","0.030"
"132","GO:0031323","regulation of cellular metabolic process","0.032"
"133","GO:0051173","positive regulation of nitrogen compound...","0.044"
"134","GO:0044419","interspecies interaction between organis...","0.058"
"135","GO:0051171","regulation of nitrogen compound metaboli...","0.060"
"136","GO:0009893","positive regulation of metabolic process","0.060"
"137","GO:0060255","regulation of macromolecule metabolic pr...","0.060"
"138","GO:0032268","regulation of cellular protein metabolic...","0.060"
"139","GO:0051246","regulation of protein metabolic process","0.060"
"140","GO:0007275","multicellular organism development","0.074"
"141","GO:0060255","regulation of macromolecule metabolic pr...","2.9e-05"
"142","GO:0010468","regulation of gene expression","7.0e-05"
"143","GO:0080090","regulation of primary metabolic process","8.8e-05"
"144","GO:0019222","regulation of metabolic process","9.3e-05"
"145","GO:0043170","macromolecule metabolic process","0.00020"
"146","GO:0010467","gene expression","0.00038"
"147","GO:0051171","regulation of nitrogen compound metaboli...","0.00041"
"148","GO:0031323","regulation of cellular metabolic process","0.00053"
"149","GO:0071704","organic substance metabolic process","0.00057"
"150","GO:0009892","negative regulation of metabolic process","0.00138"
"151","GO:0042692","muscle cell differentiation","0.0015"
"152","GO:0044089","positive regulation of cellular componen...","0.0019"
"153","GO:0006352","DNA-templated transcription, initiation","0.0042"
"154","GO:0051146","striated muscle cell differentiation","0.0059"
"155","GO:0050794","regulation of cellular process","0.0103"
"156","GO:0006367","transcription initiation from RNA polyme...","0.0107"
"157","GO:0044087","regulation of cellular component biogene...","0.0118"
"158","GO:0048518","positive regulation of biological proces...","0.0128"
"159","GO:0048522","positive regulation of cellular process","0.0139"
"160","GO:0050789","regulation of biological process","0.0158"
"161","GO:0050794","regulation of cellular process","0.00022"
"162","GO:0065007","biological regulation","0.00054"
"163","GO:0050789","regulation of biological process","0.00062"
"164","GO:0042692","muscle cell differentiation","0.00563"
"165","GO:0044087","regulation of cellular component biogene...","0.00572"
"166","GO:0048518","positive regulation of biological proces...","0.00971"
"167","GO:0051146","striated muscle cell differentiation","0.01467"
"168","GO:0043254","regulation of protein-containing complex...","0.01781"
"169","GO:0006352","DNA-templated transcription, initiation","0.02047"
"170","GO:1902680","positive regulation of RNA biosynthetic ...","0.02120"
"171","GO:0060627","regulation of vesicle-mediated transport","0.00013"
"172","GO:0006909","phagocytosis","0.00040"
"173","GO:0006810","transport","0.00160"
"174","GO:0033036","macromolecule localization","0.00177"
"175","GO:0032879","regulation of localization","0.00190"
"176","GO:0051049","regulation of transport","0.00227"
"177","GO:0060341","regulation of cellular localization","0.00232"
"178","GO:0051046","regulation of secretion","0.00237"
"179","GO:0051234","establishment of localization","0.00276"
"180","GO:0006259","DNA metabolic process","0.00279"
"181","GO:0009892","negative regulation of metabolic process","0.0082"
"182","GO:1901360","organic cyclic compound metabolic proces...","0.0205"
"183","GO:0019222","regulation of metabolic process","0.0210"
"184","GO:0010605","negative regulation of macromolecule met...","0.0211"
"185","GO:0060255","regulation of macromolecule metabolic pr...","0.0334"
"186","GO:0050789","regulation of biological process","0.0404"
"187","GO:0050794","regulation of cellular process","0.0404"
"188","GO:0065007","biological regulation","0.0431"
"189","GO:0016070","RNA metabolic process","0.0488"
"190","GO:0048519","negative regulation of biological proces...","0.0490"
"191","GO:0044260","cellular macromolecule metabolic process","0.19"
"192","GO:0033036","macromolecule localization","0.20"
"193","GO:0044237","cellular metabolic process","0.22"
"194","GO:0044238","primary metabolic process","0.22"
"195","GO:0009653","anatomical structure morphogenesis","0.32"
"196","GO:0006464","cellular protein modification process","0.33"
"197","GO:0019538","protein metabolic process","0.33"
"198","GO:0036211","protein modification process","0.33"
"199","GO:0043412","macromolecule modification","0.33"
"200","GO:0044267","cellular protein metabolic process","0.33"
"201","GO:0009416","response to light stimulus","0.0051"
"202","GO:0001558","regulation of cell growth","0.0093"
"203","GO:0016049","cell growth","0.0093"
"204","GO:0016042","lipid catabolic process","0.0103"
"205","GO:0010608","posttranscriptional regulation of gene e...","0.0117"
"206","GO:0006412","translation","0.0119"
"207","GO:0043043","peptide biosynthetic process","0.0119"
"208","GO:0050803","regulation of synapse structure or activ...","0.0123"
"209","GO:0050807","regulation of synapse organization","0.0179"
"210","GO:1901575","organic substance catabolic process","0.0189"
"211","GO:0001558","regulation of cell growth","0.0016"
"212","GO:0016049","cell growth","0.0016"
"213","GO:0050770","regulation of axonogenesis","0.0018"
"214","GO:1990778","protein localization to cell periphery","0.0069"
"215","GO:0040008","regulation of growth","0.0126"
"216","GO:0010769","regulation of cell morphogenesis involve...","0.0127"
"217","GO:0002250","adaptive immune response","0.0150"
"218","GO:0072659","protein localization to plasma membrane","0.0154"
"219","GO:0072657","protein localization to membrane","0.0157"
"220","GO:0030516","regulation of axon extension","0.0175"
"221","GO:0051239","regulation of multicellular organismal p...","0.0088"
"222","GO:0032502","developmental process","0.0363"
"223","GO:0048856","anatomical structure development","0.0363"
"224","GO:0042221","response to chemical","0.0397"
"225","GO:0006793","phosphorus metabolic process","0.0439"
"226","GO:0006796","phosphate-containing compound metabolic ...","0.0439"
"227","GO:0010033","response to organic substance","0.0483"
"228","GO:0071310","cellular response to organic substance","0.0483"
"229","GO:0050793","regulation of developmental process","0.0605"
"230","GO:0048513","animal organ development","0.0680"
"231","GO:0034599","cellular response to oxidative stress","0.0059"
"232","GO:0048522","positive regulation of cellular process","0.0125"
"233","GO:0050896","response to stimulus","0.0159"
"234","GO:0006979","response to oxidative stress","0.0198"
"235","GO:0090068","positive regulation of cell cycle proces...","0.0203"
"236","GO:0051716","cellular response to stimulus","0.0216"
"237","GO:0006281","DNA repair","0.0249"
"238","GO:0006807","nitrogen compound metabolic process","0.0255"
"239","GO:0044238","primary metabolic process","0.0259"
"240","GO:0044237","cellular metabolic process","0.0274"
"241","GO:0051246","regulation of protein metabolic process","0.0022"
"242","GO:0019538","protein metabolic process","0.0023"
"243","GO:0002684","positive regulation of immune system pro...","0.0026"
"244","GO:0044267","cellular protein metabolic process","0.0028"
"245","GO:0006793","phosphorus metabolic process","0.0039"
"246","GO:0006796","phosphate-containing compound metabolic ...","0.0039"
"247","GO:0016310","phosphorylation","0.0046"
"248","GO:1901564","organonitrogen compound metabolic proces...","0.0047"
"249","GO:0032268","regulation of cellular protein metabolic...","0.0061"
"250","GO:0009894","regulation of catabolic process","0.0082"
"251","GO:0045862","positive regulation of proteolysis","0.00025"
"252","GO:0050877","nervous system process","0.00126"
"253","GO:0048167","regulation of synaptic plasticity","0.00519"
"254","GO:0097435","supramolecular fiber organization","0.00718"
"255","GO:0042176","regulation of protein catabolic process","0.00853"
"256","GO:0030029","actin filament-based process","0.01009"
"257","GO:0007268","chemical synaptic transmission","0.01171"
"258","GO:0098916","anterograde trans-synaptic signaling","0.01171"
"259","GO:0099536","synaptic signaling","0.01171"
"260","GO:0099537","trans-synaptic signaling","0.01171"
"261","GO:0070647","protein modification by small protein co...","0.013"
"262","GO:0016567","protein ubiquitination","0.016"
"263","GO:0032940","secretion by cell","0.025"
"264","GO:0032446","protein modification by small protein co...","0.030"
"265","GO:0051603","proteolysis involved in cellular protein...","0.042"
"266","GO:0006259","DNA metabolic process","0.042"
"267","GO:0080134","regulation of response to stress","0.042"
"268","GO:0046903","secretion","0.047"
"269","GO:0140352","export from cell","0.047"
"270","GO:0007417","central nervous system development","0.055"
"271","GO:0031323","regulation of cellular metabolic process","0.19"
"272","GO:0019222","regulation of metabolic process","0.20"
"273","GO:0060255","regulation of macromolecule metabolic pr...","0.20"
"274","GO:0051171","regulation of nitrogen compound metaboli...","0.23"
"275","GO:0080090","regulation of primary metabolic process","0.23"
"276","GO:0048731","system development","0.23"
"277","GO:0071840","cellular component organization or bioge...","0.29"
"278","GO:0048519","negative regulation of biological proces...","0.34"
"279","GO:0032501","multicellular organismal process","0.37"
"280","GO:0006464","cellular protein modification process","0.39"
"281","GO:0031326","regulation of cellular biosynthetic proc...","4.0e-05"
"282","GO:0010468","regulation of gene expression","5.4e-05"
"283","GO:0009889","regulation of biosynthetic process","5.6e-05"
"284","GO:2000113","negative regulation of cellular macromol...","9.4e-05"
"285","GO:2000112","regulation of cellular macromolecule bio...","9.8e-05"
"286","GO:0009890","negative regulation of biosynthetic proc...","0.00010"
"287","GO:0031327","negative regulation of cellular biosynth...","0.00010"
"288","GO:0010558","negative regulation of macromolecule bio...","0.00011"
"289","GO:0010467","gene expression","0.00012"
"290","GO:0010556","regulation of macromolecule biosynthetic...","0.00016"
"291","GO:0006810","transport","0.00028"
"292","GO:0051234","establishment of localization","0.00028"
"293","GO:1901564","organonitrogen compound metabolic proces...","0.00251"
"294","GO:0008152","metabolic process","0.00581"
"295","GO:0051649","establishment of localization in cell","0.00758"
"296","GO:0019725","cellular homeostasis","0.01080"
"297","GO:0019538","protein metabolic process","0.01329"
"298","GO:0006807","nitrogen compound metabolic process","0.01496"
"299","GO:0046907","intracellular transport","0.01577"
"300","GO:0006396","RNA processing","0.01685"
"301","GO:0019219","regulation of nucleobase-containing comp...","0.012"
"302","GO:0051252","regulation of RNA metabolic process","0.018"
"303","GO:0016071","mRNA metabolic process","0.019"
"304","GO:0055085","transmembrane transport","0.024"
"305","GO:1901360","organic cyclic compound metabolic proces...","0.025"
"306","GO:0016070","RNA metabolic process","0.029"
"307","GO:0016032","viral process","0.029"
"308","GO:0044403","symbiotic process","0.029"
"309","GO:0048469","cell maturation","0.029"
"310","GO:0040029","regulation of gene expression, epigeneti...","0.029"
"311","GO:0097529","myeloid leukocyte migration","0.0051"
"312","GO:0098742","cell-cell adhesion via plasma-membrane a...","0.0055"
"313","GO:0098609","cell-cell adhesion","0.0073"
"314","GO:0006836","neurotransmitter transport","0.0126"
"315","GO:0016311","dephosphorylation","0.0153"
"316","GO:0001505","regulation of neurotransmitter levels","0.0159"
"317","GO:0035335","peptidyl-tyrosine dephosphorylation","0.0179"
"318","GO:0007269","neurotransmitter secretion","0.0197"
"319","GO:0016079","synaptic vesicle exocytosis","0.0197"
"320","GO:0099643","signal release from synapse","0.0197"
"321","GO:0000278","mitotic cell cycle","0.0075"
"322","GO:0001775","cell activation","0.0076"
"323","GO:0007565","female pregnancy","0.0096"
"324","GO:0051301","cell division","0.0105"
"325","GO:0043500","muscle adaptation","0.0110"
"326","GO:1903508","positive regulation of nucleic acid-temp...","0.0124"
"327","GO:0022402","cell cycle process","0.0128"
"328","GO:0007204","positive regulation of cytosolic calcium...","0.0160"
"329","GO:0006352","DNA-templated transcription, initiation","0.0164"
"330","GO:0006367","transcription initiation from RNA polyme...","0.0164"
"331","GO:0048731","system development","0.0017"
"332","GO:0048705","skeletal system morphogenesis","0.0023"
"333","GO:1901137","carbohydrate derivative biosynthetic pro...","0.0025"
"334","GO:0007275","multicellular organism development","0.0025"
"335","GO:0046677","response to antibiotic","0.0028"
"336","GO:0007399","nervous system development","0.0034"
"337","GO:0070085","glycosylation","0.0037"
"338","GO:0000904","cell morphogenesis involved in different...","0.0037"
"339","GO:0097305","response to alcohol","0.0040"
"340","GO:0007420","brain development","0.0046"
"341","GO:0016070","RNA metabolic process","0.030"
"342","GO:0032880","regulation of protein localization","0.032"
"343","GO:0006139","nucleobase-containing compound metabolic...","0.038"
"344","GO:0044238","primary metabolic process","0.048"
"345","GO:0034654","nucleobase-containing compound biosynthe...","0.049"
"346","GO:1901360","organic cyclic compound metabolic proces...","0.059"
"347","GO:0090304","nucleic acid metabolic process","0.060"
"348","GO:0006351","transcription, DNA-templated","0.060"
"349","GO:0006355","regulation of transcription, DNA-templat...","0.060"
"350","GO:0019219","regulation of nucleobase-containing comp...","0.060"
"351","GO:0032409","regulation of transporter activity","0.0026"
"352","GO:0019637","organophosphate metabolic process","0.0104"
"353","GO:0048523","negative regulation of cellular process","0.0161"
"354","GO:1904062","regulation of cation transmembrane trans...","0.0195"
"355","GO:0009719","response to endogenous stimulus","0.0209"
"356","GO:0071559","response to transforming growth factor b...","0.0225"
"357","GO:0071560","cellular response to transforming growth...","0.0225"
"358","GO:0031328","positive regulation of cellular biosynth...","0.0236"
"359","GO:0030163","protein catabolic process","0.0262"
"360","GO:0048519","negative regulation of biological proces...","0.0280"
"361","GO:0045787","positive regulation of cell cycle","0.0004"
"362","GO:0051726","regulation of cell cycle","0.0042"
"363","GO:0045165","cell fate commitment","0.0042"
"364","GO:0006366","transcription by RNA polymerase II","0.0073"
"365","GO:0021953","central nervous system neuron differenti...","0.0080"
"366","GO:0050794","regulation of cellular process","0.0087"
"367","GO:0007517","muscle organ development","0.0090"
"368","GO:0050789","regulation of biological process","0.0101"
"369","GO:0006357","regulation of transcription by RNA polym...","0.0150"
"370","GO:0045444","fat cell differentiation","0.0157"
"371","GO:0007169","transmembrane receptor protein tyrosine ...","0.0061"
"372","GO:0022008","neurogenesis","0.0092"
"373","GO:0034622","cellular protein-containing complex asse...","0.0101"
"374","GO:0030198","extracellular matrix organization","0.0147"
"375","GO:0043062","extracellular structure organization","0.0147"
"376","GO:0051493","regulation of cytoskeleton organization","0.0154"
"377","GO:0048856","anatomical structure development","0.0168"
"378","GO:0045137","development of primary sexual characteri...","0.0186"
"379","GO:0032502","developmental process","0.0201"
"380","GO:0048731","system development","0.0229"
"381","GO:0032970","regulation of actin filament-based proce...","4.6e-05"
"382","GO:0032956","regulation of actin cytoskeleton organiz...","0.00037"
"383","GO:0030029","actin filament-based process","0.00041"
"384","GO:0110053","regulation of actin filament organizatio...","0.00098"
"385","GO:0030036","actin cytoskeleton organization","0.00174"
"386","GO:0034599","cellular response to oxidative stress","0.00207"
"387","GO:0007010","cytoskeleton organization","0.00247"
"388","GO:0006996","organelle organization","0.00257"
"389","GO:0051493","regulation of cytoskeleton organization","0.00402"
"390","GO:0033043","regulation of organelle organization","0.00551"
"391","GO:0006414","translational elongation","0.00027"
"392","GO:0000724","double-strand break repair via homologou...","0.00154"
"393","GO:0000725","recombinational repair","0.00154"
"394","GO:0006310","DNA recombination","0.00154"
"395","GO:0006302","double-strand break repair","0.00444"
"396","GO:0030336","negative regulation of cell migration","0.00532"
"397","GO:0007292","female gamete generation","0.00554"
"398","GO:0043043","peptide biosynthetic process","0.01211"
"399","GO:0007600","sensory perception","0.01248"
"400","GO:0043603","cellular amide metabolic process","0.01348"
"401","GO:0060560","developmental growth involved in morphog...","0.0058"
"402","GO:0048589","developmental growth","0.0059"
"403","GO:0060562","epithelial tube morphogenesis","0.0064"
"404","GO:2000113","negative regulation of cellular macromol...","0.0116"
"405","GO:0040007","growth","0.0120"
"406","GO:0051093","negative regulation of developmental pro...","0.0177"
"407","GO:0050793","regulation of developmental process","0.0185"
"408","GO:0051216","cartilage development","0.0185"
"409","GO:0009890","negative regulation of biosynthetic proc...","0.0187"
"410","GO:0061448","connective tissue development","0.0217"
"411","GO:0050673","epithelial cell proliferation","0.0017"
"412","GO:0048870","cell motility","0.0053"
"413","GO:0051674","localization of cell","0.0053"
"414","GO:0016477","cell migration","0.0056"
"415","GO:0006928","movement of cell or subcellular componen...","0.0073"
"416","GO:0048514","blood vessel morphogenesis","0.0086"
"417","GO:0000003","reproduction","0.0092"
"418","GO:0022414","reproductive process","0.0092"
"419","GO:0035295","tube development","0.0099"
"420","GO:0035239","tube morphogenesis","0.0103"
"421","GO:0043484","regulation of RNA splicing","8.5e-06"
"422","GO:0048024","regulation of mRNA splicing, via spliceo...","2.6e-05"
"423","GO:0080090","regulation of primary metabolic process","0.00027"
"424","GO:0051171","regulation of nitrogen compound metaboli...","0.00045"
"425","GO:0000375","RNA splicing, via transesterification re...","0.00086"
"426","GO:0000377","RNA splicing, via transesterification re...","0.00086"
"427","GO:0000398","mRNA splicing, via spliceosome","0.00086"
"428","GO:0050684","regulation of mRNA processing","0.00101"
"429","GO:0050789","regulation of biological process","0.00131"
"430","GO:0051252","regulation of RNA metabolic process","0.00141"
"431","GO:0044237","cellular metabolic process","0.00019"
"432","GO:0006807","nitrogen compound metabolic process","0.00022"
"433","GO:0044260","cellular macromolecule metabolic process","0.00029"
"434","GO:0071704","organic substance metabolic process","0.00029"
"435","GO:0044238","primary metabolic process","0.00034"
"436","GO:0008152","metabolic process","0.00038"
"437","GO:0043170","macromolecule metabolic process","0.00097"
"438","GO:0031323","regulation of cellular metabolic process","0.00263"
"439","GO:0051171","regulation of nitrogen compound metaboli...","0.00379"
"440","GO:0060255","regulation of macromolecule metabolic pr...","0.00634"
"441","GO:0060429","epithelium development","0.0005"
"442","GO:0009888","tissue development","0.0018"
"443","GO:0060255","regulation of macromolecule metabolic pr...","0.0033"
"444","GO:0019222","regulation of metabolic process","0.0075"
"445","GO:0051171","regulation of nitrogen compound metaboli...","0.0079"
"446","GO:0031323","regulation of cellular metabolic process","0.0094"
"447","GO:0006725","cellular aromatic compound metabolic pro...","0.0099"
"448","GO:0080090","regulation of primary metabolic process","0.0123"
"449","GO:1901360","organic cyclic compound metabolic proces...","0.0123"
"450","GO:0006139","nucleobase-containing compound metabolic...","0.0148"
"451","GO:0022411","cellular component disassembly","0.00091"
"452","GO:1903827","regulation of cellular protein localizat...","0.00328"
"453","GO:0060341","regulation of cellular localization","0.00357"
"454","GO:0032984","protein-containing complex disassembly","0.00509"
"455","GO:0007010","cytoskeleton organization","0.00817"
"456","GO:0010256","endomembrane system organization","0.01063"
"457","GO:0051098","regulation of binding","0.01090"
"458","GO:0032880","regulation of protein localization","0.01423"
"459","GO:0098662","inorganic cation transmembrane transport","0.01778"
"460","GO:0030029","actin filament-based process","0.01812"
"461","GO:0072594","establishment of protein localization to...","0.0021"
"462","GO:0051962","positive regulation of nervous system de...","0.0278"
"463","GO:0048583","regulation of response to stimulus","0.0290"
"464","GO:0080134","regulation of response to stress","0.0405"
"465","GO:0009607","response to biotic stimulus","0.0409"
"466","GO:0043207","response to external biotic stimulus","0.0409"
"467","GO:0051707","response to other organism","0.0409"
"468","GO:0050769","positive regulation of neurogenesis","0.0431"
"469","GO:0098542","defense response to other organism","0.0462"
"470","GO:0010033","response to organic substance","0.0531"
"471","GO:0007389","pattern specification process","0.0028"
"472","GO:0007267","cell-cell signaling","0.0062"
"473","GO:0051253","negative regulation of RNA metabolic pro...","0.0091"
"474","GO:0000122","negative regulation of transcription by ...","0.0095"
"475","GO:1902679","negative regulation of RNA biosynthetic ...","0.0109"
"476","GO:1903507","negative regulation of nucleic acid-temp...","0.0109"
"477","GO:0003002","regionalization","0.0130"
"478","GO:0061061","muscle structure development","0.0153"
"479","GO:0010558","negative regulation of macromolecule bio...","0.0160"
"480","GO:0045892","negative regulation of transcription, DN...","0.0182"
"481","GO:0002376","immune system process","0.0010"
"482","GO:0048583","regulation of response to stimulus","0.0012"
"483","GO:0002682","regulation of immune system process","0.0028"
"484","GO:0016310","phosphorylation","0.0037"
"485","GO:0006468","protein phosphorylation","0.0091"
"486","GO:0009966","regulation of signal transduction","0.0099"
"487","GO:0048584","positive regulation of response to stimu...","0.0111"
"488","GO:0006952","defense response","0.0150"
"489","GO:0006955","immune response","0.0155"
"490","GO:0007166","cell surface receptor signaling pathway","0.0239"
"491","GO:0031326","regulation of cellular biosynthetic proc...","0.0015"
"492","GO:0009889","regulation of biosynthetic process","0.0022"
"493","GO:1901698","response to nitrogen compound","0.0024"
"494","GO:0019222","regulation of metabolic process","0.0027"
"495","GO:0032269","negative regulation of cellular protein ...","0.0030"
"496","GO:0051248","negative regulation of protein metabolic...","0.0034"
"497","GO:0051171","regulation of nitrogen compound metaboli...","0.0036"
"498","GO:0042221","response to chemical","0.0037"
"499","GO:0031323","regulation of cellular metabolic process","0.0044"
"500","GO:0062012","regulation of small molecule metabolic p...","0.0047"
"501","GO:0051716","cellular response to stimulus","0.047"
"502","GO:0007165","signal transduction","0.055"
"503","GO:0065007","biological regulation","0.064"
"504","GO:0050794","regulation of cellular process","0.081"
"505","GO:0007154","cell communication","0.086"
"506","GO:0023052","signaling","0.086"
"507","GO:0050896","response to stimulus","0.147"
"508","GO:0009966","regulation of signal transduction","0.149"
"509","GO:0065009","regulation of molecular function","0.149"
"510","GO:0050789","regulation of biological process","0.213"
"511","GO:0007154","cell communication","0.018"
"512","GO:0023052","signaling","0.018"
"513","GO:0065007","biological regulation","0.021"
"514","GO:0007165","signal transduction","0.029"
"515","GO:0051716","cellular response to stimulus","0.031"
"516","GO:0050896","response to stimulus","0.100"
"517","GO:0009966","regulation of signal transduction","0.126"
"518","GO:0065009","regulation of molecular function","0.134"
"519","GO:0007166","cell surface receptor signaling pathway","0.144"
"520","GO:0065008","regulation of biological quality","0.173"
"521","GO:0051656","establishment of organelle localization","0.0030"
"522","GO:0033043","regulation of organelle organization","0.0031"
"523","GO:0051056","regulation of small GTPase mediated sign...","0.0031"
"524","GO:0046907","intracellular transport","0.0038"
